tweet_id,text,q1_label,q2_label,q3_label,q4_label,q5_label,q6_label,q7_label
1241030000000000000 ,For the average American the best way to tell if you have covid-19 is to cough in a rich person’s face and wait for their test results,no,NA,NA,NA,NA,no_joke_or_sarcasm,no_not_interesting
1240470000000000000 ,this is fucking bullshit,no,NA,NA,NA,NA,no_not_harmful,no_not_interesting
1240720000000000000 ,Can y’all please just follow the government’s instructions so we can knock this COVID-19 out and be done?! I feel like a kindergartner that keeps losing more recess time because one or two kids can’t follow directions.,no,NA,NA,NA,NA,no_not_harmful,no_not_interesting
1241060000000000000 ,No offense but the corona virus disappearing before April actually sucks,no,NA,NA,NA,NA,no_not_harmful,no_not_interesting
1241450000000000000 ,"This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.  I feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 https://t.co/hs0RQdvsn3",yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,1_no_definitely_not_harmful,yes_not_urgent,no_not_harmful,no_not_interesting
1241640000000000000 ,"Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",yes,2_no_probably_contains_no_false_info,2_no_probably_not_of_interest,1_no_definitely_not_harmful,no_no_need_to_check,no_not_harmful,no_not_interesting
1241520000000000000 ,"After COVID-19 is over, I better NEVER hear anyone trash “low end” workers again. Those people at the grocery store, the Dollar General workers, those fast food workers, the Walmart employees, those people you didn't even think deserved to have a wage to survive on?",no,NA,NA,NA,NA,no_not_harmful,no_not_interesting
1242140000000000000 ,This is Dr. Usama Riaz. He spent past weeks screening and treating patients with Corona Virus in Pakistan.   He knew there was no PPE. He persisted anyways.  Today he lost his own battle with coronavirus but he gave life and hope to so many more.   KNOW HIS NAME ??? https://t.co/flSwhLCPmx,yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,1_no_definitely_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting
1240720000000000000 ,fun fact: its tradition for europeans to spread a potentially fatal disease to every other country not fully inhabited by white people &amp; not take accountability for the subsequent devastation &amp; lives lost,yes,5_yes_definitely_contains_false_info,4_yes_probably_of_interest,4_yes_probably_harmful,no_no_need_to_check,yes_xenophobic_racist_prejudices_or_hate_speech,yes_classified_as_in_question_6
1240330000000000000 ,When this Corona shit passes we have to promise each other that we’re going to tell our kids that we survived a zombie apocalypse in 2020,no,NA,NA,NA,NA,no_joke_or_sarcasm,no_not_interesting
1241160000000000000 ,So shortness of breath is a corona symptom right but you know what also gives me shortness of breath? Anxiety. And you know what has been giving me anxiety? Thinking I have corona.,no,NA,NA,NA,NA,no_not_harmful,yes_other
1240680000000000000 ,"So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. “Young people aren’t at risk, they’ll only have mild symptoms” Wrong.   I want to open up about the difficulties I’ve gone through these past days, what it was like in the ICU...",yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,2_no_probably_not_harmful,yes_not_urgent,no_not_harmful,yes_blame_authorities
1242130000000000000 ,My mum has a PhD on Corona Virus from WhatsApp University,yes,5_yes_definitely_contains_false_info,2_no_probably_not_of_interest,2_no_probably_not_harmful,no_no_need_to_check,no_joke_or_sarcasm,no_not_interesting
1240770000000000000 ,He told wealthy friends. Then cashed out a cool $1.4m in stock. Then voted AGAINST the covid-19 relief bill. He needs to go,yes,3_not_sure,5_yes_definitely_of_interest,5_yes_definitely_harmful,yes_not_urgent,yes_rumor_conspiracy,yes_blame_authorities
1241450000000000000 ,future grandson: “hey grandpa want a corona?”  me: https://t.co/ZJbdz22Lps,no,NA,NA,NA,NA,no_joke_or_sarcasm,no_not_interesting
1241340000000000000 ,Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 test-kits per week - https://t.co/DpJCph9RT7,yes,2_no_probably_contains_no_false_info,5_yes_definitely_of_interest,1_no_definitely_not_harmful,yes_not_urgent,no_not_harmful,yes_discusses_action_taken
1241430000000000000 ,"tw suicide, COVID-19  Hey, so, um, there's a big elephant in the room right now. COVID isn't the only epidemic happening right now - and it's come at a bad, bad time. Not that there's ever a good time.  There's a mental health epidemic happening, and we're gonna start seeing-",yes,2_no_probably_contains_no_false_info,5_yes_definitely_of_interest,2_no_probably_not_harmful,no_too_trivial_to_check,no_not_harmful,yes_calls_for_action
1242410000000000000 ,Celebrities keep trying to sing the virus away like this is a Disney movie or something,no,NA,NA,NA,NA,no_joke_or_sarcasm,no_not_interesting
1241970000000000000 ,maybe if i develop feelings for covid-19 it will leave,no,NA,NA,NA,NA,no_joke_or_sarcasm,no_not_interesting
1241060000000000000 ,"THREAD: I mostly talk about movies on here, but here goes. We are currently pivoting our factory to solely make surgical masks and other medical garments in short supply. We can make 2 million masks a day, and are looking to help in any way possible during this time. #COVID19 https://t.co/dOX7N3e1GJ",yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,1_no_definitely_not_harmful,yes_not_urgent,no_not_harmful,yes_discusses_action_taken
1240630000000000000 ,My mans House would pop 6 Vicodin on Thursday and have that cure by Saturday morning.,no,NA,NA,NA,NA,no_joke_or_sarcasm,no_not_interesting
1241250000000000000 ,"I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a pub, either side of a big table. Fresh air, no contact. Washed my hands 3 times.   Still caught corona from him.   Do not fuck around with this thing.",yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,2_no_probably_not_harmful,no_no_need_to_check,no_not_harmful,no_not_interesting
1241470000000000000 ,I do not understand how mcdonalds can serve two billion hamburgers every year but when I order five million at the drive thru it overwhelms the system,no,NA,NA,NA,NA,no_joke_or_sarcasm,no_not_interesting
1241010000000000000 ,Bro China is out here reading niggas power levels and we cant even get adequate testing ??,no,NA,NA,NA,NA,no_not_harmful,yes_blame_authorities
1241470000000000000 ,When this corona shit is over please invite me out. I know I be flaky sometimes but my ass is going to come outside I promise lol,no,NA,NA,NA,NA,no_not_harmful,no_not_interesting
1241870000000000000 ,"Y’all miss your ex, I miss life without the corona virus",no,NA,NA,NA,NA,no_joke_or_sarcasm,no_not_interesting
